,Date,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,is_holiday,is_beginning_holiday,is_end_holiday,Unnamed: 0_x,type,name,iso_country,iso_region,municipality,iata_code,coordinates,Unnamed: 0_y,gdp,city,state
0,2011-09-01,ATL,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,0.00,3,,129,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
1,2011-09-02,ATL,36,29,22,17,15,14,61,46,30,1019,1016,1014,16,16,16,24,7,34.0,0.00,2,,185,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
2,2011-09-03,ATL,35,29,23,17,16,14,64,47,30,1015,1013,1011,16,16,16,19,7,26.0,0.00,4,,147,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
3,2011-09-04,ATL,27,24,22,22,19,16,93,72,51,1014,1012,1011,16,14,4,21,9,26.0,6.10,6,Rain,139,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
4,2011-09-05,ATL,26,24,22,23,22,20,94,91,87,1010,1005,999,16,13,3,32,16,45.0,16.00,8,Rain-Thunderstorm,149,True,True,True,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
5,2011-09-06,ATL,24,19,14,22,15,13,90,87,84,1011,1006,998,16,12,4,47,18,56.0,1.52,8,Rain,212,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
6,2011-09-07,ATL,21,18,14,14,14,13,93,81,68,1016,1014,1011,16,13,2,23,13,32.0,T,8,,297,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
7,2011-09-08,ATL,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,32.0,0.00,5,,322,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
8,2011-09-09,ATL,27,21,14,13,12,11,93,65,36,1015,1014,1013,16,16,16,26,11,35.0,0.00,1,,302,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
9,2011-09-10,ATL,29,22,14,13,11,7,84,56,28,1019,1016,1015,16,16,16,21,9,32.0,0.00,0,,321,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
10,2011-09-11,ATL,30,23,16,13,11,7,72,49,25,1020,1018,1017,16,16,16,21,6,37.0,0.00,2,,294,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
11,2011-09-12,ATL,31,24,18,16,13,12,73,54,34,1021,1018,1016,16,16,14,24,11,34.0,0.00,1,,303,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
12,2011-09-13,ATL,32,25,18,15,13,11,78,54,29,1018,1016,1015,16,16,16,21,10,26.0,0.00,2,,319,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
13,2011-09-14,ATL,33,26,19,14,12,9,63,44,24,1016,1014,1012,16,16,16,21,6,26.0,0.00,3,,330,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
14,2011-09-15,ATL,30,23,16,19,15,12,78,63,48,1018,1014,1012,16,16,16,35,16,42.0,0.00,5,,305,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
15,2011-09-16,ATL,22,18,13,12,11,8,80,65,49,1024,1021,1017,16,16,16,37,19,47.0,0.00,5,,65,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
16,2011-09-17,ATL,26,20,13,12,9,8,72,56,40,1025,1023,1021,16,16,16,26,14,32.0,0.00,4,,84,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
17,2011-09-18,ATL,25,20,14,13,13,12,86,66,46,1026,1024,1022,16,16,16,26,17,42.0,0.00,5,,97,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
18,2011-09-19,ATL,25,21,17,13,13,12,78,64,50,1022,1020,1017,16,16,16,26,18,31.0,0.00,6,,89,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
19,2011-09-20,ATL,28,23,18,19,16,13,90,71,51,1020,1018,1016,16,15,10,26,16,32.0,1.52,8,Rain,92,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
20,2011-09-21,ATL,30,26,21,19,19,18,90,71,51,1019,1018,1016,16,12,1,21,8,26.0,T,7,Rain,128,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
21,2011-09-22,ATL,27,24,21,21,20,18,93,80,67,1021,1019,1017,16,13,3,16,9,27.0,12.45,7,Rain,126,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
22,2011-09-23,ATL,28,23,17,20,17,15,93,72,51,1019,1016,1014,16,13,3,37,11,42.0,20.57,6,Rain-Thunderstorm,314,False,False,False,26134,large_airport,Hartsfield Jackson Atlanta International Airport,US,GA,Atlanta,ATL,"33.6367, -84.428101",24.0,299615.5,Atlanta,GA
